country,year,average_magnitude,eneg,enep,enlp,electoral_system
Albania,1992,1,1.10692894458771,2.19000005722046,1.95000004768372,Single-Member District
Albania,1996,1,1.10692894458771,2.78500008583069,1.30999994277954,Single-Member District
Albania,1997,1,1.10692894458771,2.86999988555908,2.0699999332428,Single-Member District
Argentina,1946,10.5299997329712,1.34210205078125,5.75,3.74000000953674,Large-Magnitude PR
Argentina,1951,10.5299997329712,1.34210205078125,1.97000002861023,1.21000003814697,Large-Magnitude PR
Argentina,1954,4.55999994277954,1.34210205078125,1.92999994754791,1.25999999046326,Small-Magnitude PR
Argentina,1958,8.13000011444092,1.34210205078125,2.88499999046326,1.72000002861023,Large-Magnitude PR
Argentina,1960,4.17000007629395,1.34210205078125,5.4850001335144,2.11999988555908,Small-Magnitude PR
Argentina,1963,8.35000038146973,1.34210205078125,5.98000001907349,5.05999994277954,Large-Magnitude PR
Argentina,1965,4.17000007629395,1.34210205078125,5.15500020980835,4.61999988555908,Small-Magnitude PR
Argentina,1973,10.1300001144409,1.34210205078125,3.19000005722046,2.94000005722046,Large-Magnitude PR
Argentina,1983,10.5799999237061,1.34210205078125,2.63000011444092,2.19000005722046,Large-Magnitude PR
Argentina,1985,5.28999996185303,1.34210205078125,4.23999977111816,3.35999989509583,Small-Magnitude PR
Argentina,1987,5.51999998092651,1.34210205078125,3.14000010490418,2.63000011444092,Small-Magnitude PR
Argentina,1989,5.28999996185303,1.34210205078125,3.34999990463257,2.71000003814697,Small-Magnitude PR
Argentina,1991,5.28999996185303,1.34210205078125,3.5699999332428,2.9300000667572,Small-Magnitude PR
Argentina,1993,5.28999996185303,1.34210205078125,3.36999988555908,2.70000004768372,Small-Magnitude PR
Argentina,1995,5.42000007629395,1.34210205078125,3.57999992370605,2.80999994277954,Small-Magnitude PR
Argentina,1997,5.28999996185303,1.34210205078125,3.65000009536743,3.32999992370605,Small-Magnitude PR
Argentina,1999,5.42000007629395,1.34210205078125,3.22499990463257,2.5699999332428,Small-Magnitude PR
Armenia,1995,1,1.1544680595398,4.2350001335144,2.51999998092651,Single-Member District
Armenia,1999,1,1.1544680595398,4.76999998092651,3.97000002861023,Single-Member District
Australia,1946,1,1.17440402507782,2.74000000953674,2.40000009536743,Single-Member District
Australia,1949,1,1.17440402507782,2.64000010490418,2.61999988555908,Single-Member District
Australia,1951,1,1.17440402507782,2.49000000953674,2.55999994277954,Single-Member District
Australia,1954,1,1.17440402507782,2.46000003814697,2.54999995231628,Single-Member District
Australia,1955,1,1.17440402507782,2.73499989509583,2.57999992370605,Single-Member District
Australia,1958,1,1.17440402507782,2.97000002861023,2.58999991416931,Single-Member District
Australia,1961,1,1.17440402507782,2.80999994277954,2.51999998092651,Single-Member District
Australia,1963,1,1.17440402507782,2.78999996185303,2.66000008583069,Single-Member District
Australia,1966,1,1.17440402507782,2.98000001907349,2.63000011444092,Single-Member District
Australia,1969,1,1.17440402507782,2.82999992370605,2.60999989509583,Single-Member District
Australia,1972,1,1.17440402507782,2.76999998092651,2.47000002861023,Single-Member District
Australia,1974,1,1.17440402507782,2.66000008583069,2.51999998092651,Single-Member District
Australia,1975,1,1.17440402507782,2.70000004768372,2.50999999046326,Single-Member District
Australia,1977,1,1.17440402507782,3.11500000953674,2.45000004768372,Single-Member District
Australia,1980,1,1.17440402507782,2.80999994277954,2.64000010490418,Single-Member District
Australia,1983,1,1.17440402507782,2.67000007629395,2.23000001907349,Single-Member District
Australia,1984,1,1.17440402507782,2.78999996185303,2.38000011444092,Single-Member District
Australia,1987,1,1.17440402507782,3.01999998092651,2.27999997138977,Single-Member District
Australia,1990,1,1.17440402507782,3.33999991416931,2.34999990463257,Single-Member District
Australia,1993,1,1.17440402507782,2.88000011444092,2.39000010490418,Single-Member District
Australia,1996,1,1.17440402507782,3.21000003814697,2.61999988555908,Single-Member District
Australia,1998,1,1.17440402507782,3.46000003814697,2.48000001907349,Single-Member District
Austria,1949,6.59999990463257,1.14368200302124,2.77999997138977,2.53999996185303,Small-Magnitude PR
Austria,1953,6.59999990463257,1.14368200302124,2.75999999046326,2.48000001907349,Small-Magnitude PR
Austria,1956,6.59999990463257,1.14368200302124,2.48000001907349,2.23000001907349,Small-Magnitude PR
Austria,1959,6.59999990463257,1.14368200302124,2.48000001907349,2.20000004768372,Small-Magnitude PR
Austria,1962,6.59999990463257,1.14368200302124,2.47000002861023,2.19000005722046,Small-Magnitude PR
Austria,1966,6.59999990463257,1.14368200302124,2.39000010490418,2.14000010490417,Small-Magnitude PR
Austria,1970,6.59999990463257,1.14368200302124,2.28999996185303,2.11999988555908,Small-Magnitude PR
Austria,1971,20.3299999237061,1.14368200302124,2.27999997138977,2.21000003814697,Large-Magnitude PR
Austria,1975,20.3299999237061,1.14368200302124,2.26999998092651,2.21000003814697,Large-Magnitude PR
Austria,1979,20.3299999237061,1.14368200302124,2.27999997138977,2.22000002861023,Large-Magnitude PR
Austria,1983,20.3299999237061,1.14368200302124,2.40000009536743,2.25999999046326,Large-Magnitude PR
Austria,1986,20.3299999237061,1.14368200302124,2.72000002861023,2.63000011444092,Large-Magnitude PR
Austria,1990,20.3299999237061,1.14368200302124,3.17000007629395,2.99000000953674,Large-Magnitude PR
Austria,1994,4.26000022888184,1.14368200302124,3.86999988555908,3.73000001907349,Small-Magnitude PR
Austria,1995,4.26000022888184,1.14368200302124,3.58999991416931,3.49000000953674,Small-Magnitude PR
Austria,1999,4.26000022888184,1.14368200302124,3.8199999332428,3.41000008583069,Small-Magnitude PR
Bangladesh,1991,1,1.28758096694946,4.65000009536743,3.10999989509583,Single-Member District
Bangladesh,1996,1,1.28758096694946,3.48000001907349,2.50999999046326,Single-Member District
Belgium,1946,6.73000001907349,2.30946898460388,3.27999997138977,2.91000008583069,Small-Magnitude PR
Belgium,1949,7.09999990463257,2.30946898460388,3.25999999046326,2.75,Large-Magnitude PR
Belgium,1950,7.09999990463257,2.30946898460388,2.75999999046326,2.5,Large-Magnitude PR
Belgium,1954,7.09999990463257,2.30946898460388,3.07999992370605,2.63000011444092,Large-Magnitude PR
Belgium,1958,7.09999990463257,2.30946898460388,2.78999996185303,2.45000004768372,Large-Magnitude PR
Belgium,1961,7.09999990463257,2.30946898460388,3.07999992370605,2.69000005722046,Large-Magnitude PR
Belgium,1965,7.09999990463257,2.30946898460388,3.96000003814697,3.58999991416931,Large-Magnitude PR
Belgium,1968,7.09999990463257,2.30946898460388,6.92000007629395,6.57000017166138,Large-Magnitude PR
Belgium,1971,7.09999990463257,2.30946898460388,6.42000007629395,5.8899998664856,Large-Magnitude PR
Belgium,1974,7.09999990463257,2.30946898460388,6.09999990463257,5.84999990463257,Large-Magnitude PR
Belgium,1977,7.09999990463257,2.30946898460388,5.69999980926514,5.26000022888184,Large-Magnitude PR
Belgium,1978,7.09999990463257,2.30946898460388,7.51999998092651,6.78999996185303,Large-Magnitude PR
Belgium,1981,7.09999990463257,2.30946898460388,9,7.63000011444092,Large-Magnitude PR
Belgium,1985,7.09999990463257,2.30946898460388,8.14000034332275,7.01000022888184,Large-Magnitude PR
Belgium,1987,7.09999990463257,2.30946898460388,8.11999988555908,7.13000011444092,Large-Magnitude PR
Belgium,1991,7.09999990463257,2.30946898460388,9.8100004196167,8.40999984741211,Large-Magnitude PR
Belgium,1995,7.5,2.30946898460388,9.35000038146973,8.05000019073486,Large-Magnitude PR
Belgium,1999,7.5,2.30946898460388,10.289999961853,9.05000019073486,Large-Magnitude PR
Benin,1991,10.6700000762939,2.64744901657105,9.61999988555908,8.76000022888184,Large-Magnitude PR
